ssc_percentage,hsc_percentage,degree_percentage,emp_test_percentage,mba_percent,gender_M,ssc_board_Others,hsc_board_Others,hsc_subject_Commerce,hsc_subject_Science,undergrad_degree_Others,undergrad_degree_Sci&Tech,work_experience_Yes,specialisation_Mkt&HR,status_Placed
66.0,64.0,60.0,60.0,61.9,1,0,0,0,1,0,0,0,1,0
85.0,60.0,73.43,60.0,61.29,1,0,1,0,1,0,1,1,0,1
77.67,64.89,70.67,89.0,60.39,1,1,1,1,0,0,0,0,0,1
52.0,50.0,61.0,60.0,58.52,1,1,1,0,0,0,0,0,0,0
89.4,65.66,71.25,72.0,63.23,1,1,1,0,1,0,1,0,1,1
62.0,63.0,66.0,85.0,55.14,1,0,1,0,1,0,0,0,1,1
70.0,74.0,65.0,83.0,62.28,1,0,0,1,0,0,0,0,0,1
77.0,86.0,56.0,57.0,64.08,0,0,0,0,0,1,0,0,0,1
44.0,58.0,55.0,64.25,58.54,1,0,0,0,0,0,0,1,1,0
71.0,58.66,58.0,56.0,61.3,1,0,0,0,1,0,1,1,0,1
65.0,65.0,75.0,83.0,58.87,1,0,0,1,0,0,0,0,0,1
75.4,60.5,84.0,98.0,65.25,0,1,0,0,1,0,1,0,0,1
49.0,59.0,65.0,86.0,62.48,1,1,1,0,1,0,1,1,0,1
53.0,63.0,60.0,70.0,53.2,1,0,1,0,1,0,0,1,0,1
51.57,74.66,59.9,56.15,65.99,1,1,1,1,0,0,0,1,1,0
84.2,69.4,65.0,80.0,52.72,1,0,0,0,1,0,1,1,1,1
66.5,62.5,60.9,93.4,55.03,1,0,0,1,0,0,0,0,0,1
67.0,63.0,64.0,60.0,61.87,1,1,1,0,1,0,1,0,0,0
52.0,49.0,58.0,62.0,60.59,1,0,1,1,0,0,0,0,1,0
87.0,74.0,65.0,75.0,72.29,1,0,0,0,1,0,1,1,1,1
55.6,51.0,57.5,57.63,62.72,1,1,1,1,0,0,0,0,1,0
74.2,87.6,77.25,75.2,66.06,1,0,1,1,0,0,0,1,0,1
63.0,67.0,64.0,75.0,66.46,1,1,1,0,1,0,1,0,0,1
67.16,72.5,63.35,53.04,65.52,0,0,0,1,0,0,0,0,0,1
63.3,78.33,74.0,80.0,74.56,0,0,1,1,0,0,0,0,0,0
62.0,62.0,60.0,63.0,52.38,1,1,1,1,0,0,0,1,1,1
67.9,62.0,67.0,58.1,75.71,1,1,1,0,1,0,1,1,0,0
48.0,51.0,58.0,60.0,58.79,0,0,0,1,0,0,0,1,1,0
59.96,42.16,61.26,54.48,65.48,1,1,1,0,1,0,1,0,1,0
63.4,67.2,60.0,58.06,69.28,0,1,1,1,0,0,0,0,1,0
80.0,80.0,72.0,63.79,66.04,1,1,1,1,0,0,0,1,0,1
73.0,58.0,56.0,84.0,52.64,1,1,1,1,0,0,0,0,1,1
52.0,52.0,55.0,67.0,59.32,0,1,1,0,1,0,1,0,1,0
73.24,50.83,64.27,64.0,66.23,1,1,1,0,1,0,1,1,0,1
63.0,62.0,65.0,87.5,60.69,1,1,1,0,1,0,1,0,1,0
59.0,60.0,56.0,55.0,57.9,0,0,1,1,0,0,0,0,1,1
73.0,97.0,79.0,89.0,70.81,0,0,1,1,0,0,0,1,0,1
68.0,56.0,68.0,73.0,68.07,1,1,1,0,1,0,1,0,1,1
77.8,64.0,64.2,75.5,72.14,0,0,0,0,1,0,1,0,1,0
65.0,71.5,62.8,57.0,56.6,1,0,1,1,0,0,0,1,0,1
62.0,60.33,64.21,63.0,60.02,1,0,1,0,1,0,1,0,1,0
52.0,65.0,57.0,75.0,59.81,1,1,1,0,0,1,0,1,0,0
65.0,77.0,69.0,60.0,61.82,1,0,0,1,0,0,0,0,1,1
56.28,62.83,59.79,60.0,57.29,0,1,1,1,0,0,0,0,1,0
88.0,72.0,78.0,82.0,71.43,0,0,0,0,1,1,0,0,1,1
52.0,64.0,61.0,55.0,62.93,0,0,0,1,0,0,0,0,0,0
78.5,65.5,67.0,95.0,64.86,1,0,0,0,1,0,1,1,0,1
61.8,47.0,54.38,57.0,56.13,1,1,1,1,0,0,0,0,0,0
54.0,77.6,69.2,95.65,66.94,0,0,1,1,0,0,0,0,0,0
64.0,70.2,61.0,50.0,62.5,0,1,0,1,0,0,0,0,0,0
67.0,61.0,72.0,72.0,61.01,1,1,0,0,1,0,0,0,0,1
65.2,61.4,64.8,93.4,57.34,1,0,0,1,0,0,0,1,0,1
60.0,63.0,56.0,80.0,56.63,0,0,0,0,0,1,0,1,1,1
52.0,55.0,56.3,59.0,64.74,1,1,1,1,0,0,0,0,0,0
66.0,76.0,72.0,84.0,58.95,1,0,0,1,0,0,0,1,1,1
72.0,63.0,77.5,78.0,54.48,1,1,1,0,1,0,1,1,0,1
83.96,53.0,91.0,59.32,69.71,0,1,1,0,1,0,1,0,1,1
67.0,70.0,65.0,88.0,71.96,0,0,0,1,0,1,0,0,1,0
69.0,65.0,57.0,73.0,55.8,1,1,1,1,0,0,0,0,1,1
69.0,60.0,65.0,87.55,52.81,1,1,1,1,0,0,0,0,0,1
54.2,63.0,58.0,79.0,58.44,1,0,1,0,1,0,0,0,1,0
70.0,63.0,66.0,61.28,60.11,1,0,0,0,1,0,1,0,1,1
55.68,61.33,56.87,66.0,58.3,1,1,1,1,0,0,0,0,1,1
74.0,73.0,73.0,80.0,67.69,0,1,1,1,0,0,0,1,0,1
61.0,62.0,65.0,62.0,56.81,1,1,1,1,0,0,0,0,0,1
41.0,42.0,60.0,97.0,53.39,1,0,0,0,1,0,0,0,0,0
83.33,78.0,61.0,88.56,71.55,1,0,1,1,0,0,0,1,0,1
43.0,60.0,65.0,92.66,62.92,0,0,1,0,1,0,0,0,1,0
62.0,72.0,65.0,67.0,56.49,1,0,0,1,0,0,0,0,0,1
80.6,82.0,77.6,91.0,74.49,1,1,1,1,0,0,0,0,0,1
58.0,60.0,72.0,74.0,53.62,1,1,1,0,1,0,1,0,0,1
67.0,67.0,73.0,59.0,69.72,1,1,1,1,0,0,0,1,0,1
74.0,66.0,58.0,70.0,60.23,0,1,1,1,0,0,0,0,1,1
62.0,58.0,53.0,89.0,60.22,1,0,1,0,1,0,0,0,1,0
