sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,output,salary
41,0.0,78.0,0.0,77.0,1.0,1.0,80.0,0.0,0.0,60.0,0.0,66.72,1,287000.0
42,0.0,74.0,1.0,63.16,1.0,1.0,65.0,0.0,1.0,65.0,1.0,69.76,0,288655.4054054054
43,1.0,49.0,1.0,39.0,0.0,2.0,65.0,1.0,0.0,63.0,0.0,51.21,0,288655.4054054054
44,1.0,87.0,1.0,87.0,1.0,1.0,68.0,0.0,0.0,95.0,1.0,62.9,1,300000.0
45,0.0,77.0,1.0,73.0,1.0,1.0,81.0,0.0,1.0,89.0,0.0,69.7,1,200000.0
46,0.0,76.0,0.0,64.0,0.0,2.0,72.0,2.0,0.0,58.0,1.0,66.53,0,288655.4054054054
47,0.0,70.89,1.0,71.98,1.0,2.0,65.6,0.0,0.0,68.0,1.0,71.63,0,288655.4054054054
48,1.0,63.0,0.0,60.0,0.0,1.0,57.0,0.0,1.0,78.0,0.0,54.55,1,204000.0
49,1.0,63.0,1.0,62.0,1.0,1.0,68.0,0.0,0.0,64.0,0.0,62.46,1,250000.0
50,0.0,50.0,1.0,37.0,1.0,0.0,52.0,1.0,0.0,65.0,1.0,56.11,0,288655.4054054054
51,0.0,75.2,0.0,73.2,0.0,2.0,68.4,0.0,0.0,65.0,1.0,62.98,1,200000.0
52,1.0,54.4,0.0,61.12,0.0,1.0,56.2,0.0,0.0,67.0,1.0,62.65,0,288655.4054054054
53,0.0,40.89,1.0,45.83,1.0,1.0,53.0,0.0,0.0,71.2,1.0,65.49,0,288655.4054054054
54,1.0,80.0,1.0,70.0,1.0,2.0,72.0,2.0,0.0,87.0,1.0,71.04,1,450000.0
55,0.0,74.0,0.0,60.0,1.0,2.0,69.0,0.0,0.0,78.0,1.0,65.56,1,216000.0
56,1.0,60.4,0.0,66.6,1.0,2.0,65.0,0.0,0.0,71.0,1.0,52.71,1,220000.0
57,1.0,63.0,1.0,71.4,1.0,1.0,61.4,0.0,0.0,68.0,0.0,66.88,1,240000.0
58,1.0,68.0,0.0,76.0,0.0,1.0,74.0,0.0,0.0,80.0,0.0,63.59,1,360000.0
59,1.0,74.0,0.0,62.0,1.0,2.0,68.0,0.0,0.0,74.0,0.0,57.99,1,268000.0
60,1.0,52.6,0.0,65.58,1.0,2.0,72.11,2.0,0.0,57.6,0.0,56.66,1,265000.0
61,1.0,74.0,0.0,70.0,0.0,2.0,72.0,0.0,1.0,60.0,0.0,57.24,1,260000.0
62,1.0,84.2,0.0,73.4,0.0,1.0,66.89,0.0,0.0,61.6,0.0,62.48,1,300000.0
63,0.0,86.5,1.0,64.2,1.0,2.0,67.4,2.0,0.0,59.0,0.0,59.69,1,240000.0
64,1.0,61.0,1.0,70.0,1.0,1.0,64.0,0.0,0.0,68.5,1.0,59.5,0,288655.4054054054
65,1.0,80.0,1.0,73.0,1.0,1.0,75.0,0.0,0.0,61.0,0.0,58.78,1,240000.0
66,1.0,54.0,1.0,47.0,1.0,2.0,57.0,0.0,0.0,89.69,1.0,57.1,0,288655.4054054054
67,1.0,83.0,1.0,74.0,1.0,2.0,66.0,0.0,0.0,68.92,1.0,58.46,1,275000.0
68,1.0,80.92,1.0,78.5,1.0,1.0,67.0,0.0,0.0,68.71,0.0,60.99,1,275000.0
69,0.0,69.7,0.0,47.0,0.0,1.0,72.7,2.0,0.0,79.0,1.0,59.24,0,288655.4054054054
70,1.0,73.0,0.0,73.0,0.0,2.0,66.0,2.0,1.0,70.0,0.0,68.07,1,275000.0
71,1.0,82.0,1.0,61.0,1.0,2.0,62.0,2.0,0.0,89.0,0.0,65.45,1,360000.0
72,1.0,75.0,1.0,70.29,1.0,1.0,71.0,0.0,0.0,95.0,0.0,66.94,1,240000.0
73,1.0,84.86,1.0,67.0,1.0,2.0,78.0,0.0,0.0,95.5,0.0,68.53,1,240000.0
74,1.0,64.6,0.0,83.83,1.0,1.0,71.72,0.0,0.0,86.0,0.0,59.75,1,218000.0
75,1.0,56.6,0.0,64.8,0.0,1.0,70.2,0.0,0.0,84.27,0.0,67.2,1,336000.0
76,0.0,59.0,0.0,62.0,1.0,1.0,77.5,0.0,0.0,74.0,1.0,67.0,0,288655.4054054054
77,0.0,66.5,1.0,70.4,0.0,0.0,71.93,0.0,0.0,61.0,0.0,64.27,1,230000.0
78,1.0,64.0,1.0,80.0,1.0,2.0,65.0,2.0,1.0,69.0,0.0,57.65,1,500000.0
79,1.0,84.0,1.0,90.9,1.0,2.0,64.5,2.0,0.0,86.04,0.0,59.42,1,270000.0
80,0.0,69.0,0.0,62.0,0.0,2.0,66.0,2.0,0.0,75.0,1.0,67.99,0,288655.4054054054
81,0.0,69.0,1.0,62.0,1.0,1.0,69.0,0.0,1.0,67.0,1.0,62.35,1,240000.0
82,1.0,81.7,1.0,63.0,1.0,2.0,67.0,0.0,1.0,86.0,0.0,70.2,1,300000.0
83,1.0,63.0,0.0,67.0,0.0,1.0,74.0,0.0,0.0,82.0,0.0,60.44,0,288655.4054054054
84,1.0,84.0,1.0,79.0,1.0,2.0,68.0,2.0,1.0,84.0,0.0,66.69,1,300000.0
85,1.0,70.0,0.0,63.0,1.0,2.0,70.0,2.0,1.0,55.0,0.0,62.0,1,300000.0
86,0.0,83.84,1.0,89.83,1.0,1.0,77.2,0.0,1.0,78.74,0.0,76.18,1,400000.0
87,1.0,62.0,1.0,63.0,1.0,1.0,64.0,0.0,0.0,67.0,0.0,57.03,1,220000.0
88,1.0,59.6,0.0,51.0,0.0,2.0,60.0,1.0,0.0,75.0,1.0,59.08,0,288655.4054054054
89,0.0,66.0,0.0,62.0,0.0,1.0,73.0,0.0,0.0,58.0,1.0,64.36,1,210000.0
90,0.0,84.0,1.0,75.0,1.0,2.0,69.0,2.0,1.0,62.0,1.0,62.36,1,210000.0
91,0.0,85.0,1.0,90.0,1.0,1.0,82.0,0.0,0.0,92.0,0.0,68.03,1,300000.0
92,1.0,52.0,0.0,57.0,0.0,1.0,50.8,0.0,0.0,67.0,1.0,62.79,0,288655.4054054054
93,0.0,60.23,0.0,69.0,0.0,2.0,66.0,0.0,0.0,72.0,0.0,59.47,1,230000.0
94,1.0,52.0,0.0,62.0,0.0,1.0,54.0,0.0,0.0,72.0,1.0,55.41,0,288655.4054054054
95,1.0,58.0,0.0,62.0,0.0,1.0,64.0,0.0,0.0,53.88,0.0,54.97,1,260000.0
96,1.0,73.0,0.0,78.0,1.0,1.0,65.0,0.0,1.0,95.46,0.0,62.16,1,420000.0
97,0.0,76.0,0.0,70.0,0.0,2.0,76.0,0.0,1.0,66.0,0.0,64.44,1,300000.0
98,0.0,70.5,0.0,62.5,1.0,1.0,61.0,0.0,0.0,93.91,0.0,69.03,0,288655.4054054054
99,0.0,69.0,0.0,73.0,0.0,1.0,65.0,0.0,0.0,70.0,0.0,57.31,1,220000.0
100,1.0,54.0,0.0,82.0,1.0,1.0,63.0,2.0,0.0,50.0,0.0,59.47,0,288655.4054054054
101,0.0,45.0,1.0,57.0,1.0,1.0,58.0,0.0,1.0,56.39,1.0,64.95,0,288655.4054054054
102,1.0,63.0,0.0,72.0,0.0,1.0,68.0,0.0,0.0,78.0,1.0,60.44,1,380000.0
103,0.0,77.0,1.0,61.0,1.0,1.0,68.0,0.0,1.0,57.5,0.0,61.31,1,300000.0
104,1.0,73.0,0.0,78.0,0.0,2.0,73.0,2.0,1.0,85.0,1.0,65.83,1,240000.0
105,1.0,69.0,0.0,63.0,1.0,2.0,65.0,0.0,1.0,55.0,1.0,58.23,1,360000.0
106,1.0,59.0,0.0,64.0,1.0,2.0,58.0,2.0,0.0,85.0,1.0,55.3,0,288655.4054054054
107,1.0,61.08,1.0,50.0,1.0,2.0,54.0,2.0,0.0,71.0,0.0,65.69,0,288655.4054054054
108,1.0,82.0,1.0,90.0,1.0,1.0,83.0,0.0,0.0,80.0,1.0,73.52,1,200000.0
109,1.0,61.0,0.0,82.0,0.0,1.0,69.0,0.0,0.0,84.0,0.0,58.31,1,300000.0
110,1.0,52.0,0.0,63.0,1.0,2.0,65.0,2.0,1.0,86.0,1.0,56.09,0,288655.4054054054
111,0.0,69.5,0.0,70.0,0.0,2.0,72.0,2.0,0.0,57.2,1.0,54.8,1,250000.0
112,1.0,51.0,1.0,54.0,1.0,2.0,61.0,2.0,0.0,60.0,1.0,60.64,0,288655.4054054054
113,1.0,58.0,1.0,61.0,1.0,1.0,61.0,0.0,0.0,58.0,1.0,53.94,1,250000.0
114,0.0,73.96,1.0,79.0,1.0,1.0,67.0,0.0,0.0,72.15,0.0,63.08,1,280000.0
115,1.0,65.0,0.0,68.0,1.0,2.0,69.0,0.0,0.0,53.7,1.0,55.01,1,250000.0
116,0.0,73.0,1.0,63.0,1.0,2.0,66.0,0.0,0.0,89.0,0.0,60.5,1,216000.0
117,1.0,68.2,0.0,72.8,0.0,1.0,66.6,0.0,1.0,96.0,0.0,70.85,1,300000.0
118,1.0,77.0,1.0,75.0,1.0,2.0,73.0,2.0,0.0,80.0,0.0,67.05,1,240000.0
119,1.0,76.0,0.0,80.0,0.0,2.0,78.0,2.0,1.0,97.0,1.0,70.48,1,276000.0
120,1.0,60.8,0.0,68.4,0.0,1.0,64.6,0.0,1.0,82.66,0.0,64.34,1,940000.0
121,1.0,58.0,1.0,40.0,1.0,2.0,59.0,0.0,0.0,73.0,1.0,58.81,0,288655.4054054054
122,0.0,64.0,0.0,67.0,1.0,2.0,69.6,2.0,1.0,55.67,1.0,71.49,1,250000.0
123,0.0,66.5,0.0,66.8,0.0,0.0,69.3,0.0,1.0,80.4,0.0,71.0,1,236000.0
124,1.0,74.0,1.0,59.0,1.0,1.0,73.0,0.0,1.0,60.0,1.0,56.7,1,240000.0
125,1.0,67.0,0.0,71.0,0.0,2.0,64.33,1.0,1.0,64.0,1.0,61.26,1,250000.0
126,0.0,84.0,0.0,73.0,0.0,1.0,73.0,0.0,0.0,75.0,0.0,73.33,1,350000.0
127,0.0,79.0,1.0,61.0,1.0,2.0,75.5,2.0,1.0,70.0,0.0,68.2,1,210000.0
128,0.0,72.0,1.0,60.0,1.0,2.0,69.0,0.0,0.0,55.5,1.0,58.4,1,250000.0
129,1.0,80.4,0.0,73.4,0.0,2.0,77.72,2.0,1.0,81.2,1.0,76.26,1,400000.0
130,1.0,76.7,0.0,89.7,1.0,1.0,66.0,0.0,1.0,90.0,0.0,68.55,1,250000.0
131,1.0,62.0,0.0,65.0,1.0,1.0,60.0,0.0,0.0,84.0,0.0,64.15,0,288655.4054054054
132,0.0,74.9,1.0,57.0,1.0,2.0,62.0,1.0,1.0,80.0,0.0,60.78,1,360000.0
133,1.0,67.0,1.0,68.0,1.0,1.0,64.0,0.0,1.0,74.4,1.0,53.49,1,300000.0
134,1.0,73.0,0.0,64.0,1.0,1.0,77.0,0.0,1.0,65.0,1.0,60.98,1,250000.0
135,0.0,77.44,0.0,92.0,1.0,1.0,72.0,0.0,1.0,94.0,0.0,67.13,1,250000.0
136,0.0,72.0,0.0,56.0,1.0,2.0,69.0,0.0,0.0,55.6,1.0,65.63,1,200000.0
137,0.0,47.0,0.0,59.0,0.0,0.0,64.0,0.0,0.0,78.0,0.0,61.58,0,288655.4054054054
138,1.0,67.0,1.0,63.0,0.0,1.0,72.0,0.0,0.0,56.0,1.0,60.41,1,225000.0
139,0.0,82.0,1.0,64.0,1.0,2.0,73.0,2.0,1.0,96.0,0.0,71.77,1,250000.0
140,1.0,77.0,0.0,70.0,0.0,1.0,59.0,0.0,1.0,58.0,0.0,54.43,1,220000.0
141,1.0,65.0,0.0,64.8,1.0,1.0,69.5,0.0,1.0,56.0,0.0,56.94,1,265000.0
142,1.0,66.0,0.0,64.0,0.0,2.0,60.0,0.0,0.0,60.0,1.0,61.9,0,288655.4054054054
143,1.0,85.0,0.0,60.0,1.0,2.0,73.43,2.0,1.0,60.0,0.0,61.29,1,260000.0
144,1.0,77.67,1.0,64.89,1.0,1.0,70.67,0.0,0.0,89.0,0.0,60.39,1,300000.0
145,1.0,52.0,1.0,50.0,1.0,0.0,61.0,0.0,0.0,60.0,0.0,58.52,0,288655.4054054054
146,1.0,89.4,1.0,65.66,1.0,2.0,71.25,2.0,0.0,72.0,1.0,63.23,1,400000.0
147,1.0,62.0,0.0,63.0,1.0,2.0,66.0,0.0,0.0,85.0,1.0,55.14,1,233000.0
148,1.0,70.0,0.0,74.0,0.0,1.0,65.0,0.0,0.0,83.0,0.0,62.28,1,300000.0
149,0.0,77.0,0.0,86.0,0.0,0.0,56.0,1.0,0.0,57.0,0.0,64.08,1,240000.0
150,1.0,44.0,0.0,58.0,0.0,0.0,55.0,0.0,1.0,64.25,1.0,58.54,0,288655.4054054054
151,1.0,71.0,0.0,58.66,0.0,2.0,58.0,2.0,1.0,56.0,0.0,61.3,1,690000.0
152,1.0,65.0,0.0,65.0,0.0,1.0,75.0,0.0,0.0,83.0,0.0,58.87,1,270000.0
153,0.0,75.4,1.0,60.5,0.0,2.0,84.0,2.0,0.0,98.0,0.0,65.25,1,240000.0
154,1.0,49.0,1.0,59.0,1.0,2.0,65.0,2.0,1.0,86.0,0.0,62.48,1,340000.0
155,1.0,53.0,0.0,63.0,1.0,2.0,60.0,0.0,1.0,70.0,0.0,53.2,1,250000.0
156,1.0,51.57,1.0,74.66,1.0,1.0,59.9,0.0,1.0,56.15,1.0,65.99,0,288655.4054054054
157,1.0,84.2,0.0,69.4,0.0,2.0,65.0,2.0,1.0,80.0,1.0,52.72,1,255000.0
158,1.0,66.5,0.0,62.5,0.0,1.0,60.9,0.0,0.0,93.4,0.0,55.03,1,300000.0
159,1.0,67.0,1.0,63.0,1.0,2.0,64.0,2.0,0.0,60.0,0.0,61.87,0,288655.4054054054
160,1.0,52.0,0.0,49.0,1.0,1.0,58.0,0.0,0.0,62.0,1.0,60.59,0,288655.4054054054
161,1.0,87.0,0.0,74.0,0.0,2.0,65.0,2.0,1.0,75.0,1.0,72.29,1,300000.0
162,1.0,55.6,1.0,51.0,1.0,1.0,57.5,0.0,0.0,57.63,1.0,62.72,0,288655.4054054054
163,1.0,74.2,0.0,87.6,1.0,1.0,77.25,0.0,1.0,75.2,0.0,66.06,1,285000.0
164,1.0,63.0,1.0,67.0,1.0,2.0,64.0,2.0,0.0,75.0,0.0,66.46,1,500000.0
165,0.0,67.16,0.0,72.5,0.0,1.0,63.35,0.0,0.0,53.04,0.0,65.52,1,250000.0
166,0.0,63.3,0.0,78.33,1.0,1.0,74.0,0.0,0.0,80.0,0.0,74.56,0,288655.4054054054
167,1.0,62.0,1.0,62.0,1.0,1.0,60.0,0.0,1.0,63.0,1.0,52.38,1,240000.0
168,1.0,67.9,1.0,62.0,1.0,2.0,67.0,2.0,1.0,58.1,0.0,75.71,0,288655.4054054054
169,0.0,48.0,0.0,51.0,0.0,1.0,58.0,0.0,1.0,60.0,1.0,58.79,0,288655.4054054054
170,1.0,59.96,1.0,42.16,1.0,2.0,61.26,2.0,0.0,54.48,1.0,65.48,0,288655.4054054054
171,0.0,63.4,1.0,67.2,1.0,1.0,60.0,0.0,0.0,58.06,1.0,69.28,0,288655.4054054054
172,1.0,80.0,1.0,80.0,1.0,1.0,72.0,0.0,1.0,63.79,0.0,66.04,1,290000.0
173,1.0,73.0,1.0,58.0,1.0,1.0,56.0,0.0,0.0,84.0,1.0,52.64,1,300000.0
174,0.0,52.0,1.0,52.0,1.0,2.0,55.0,2.0,0.0,67.0,1.0,59.32,0,288655.4054054054
175,1.0,73.24,1.0,50.83,1.0,2.0,64.27,2.0,1.0,64.0,0.0,66.23,1,500000.0
176,1.0,63.0,1.0,62.0,1.0,2.0,65.0,2.0,0.0,87.5,1.0,60.69,0,288655.4054054054
177,0.0,59.0,0.0,60.0,1.0,1.0,56.0,0.0,0.0,55.0,1.0,57.9,1,220000.0
178,0.0,73.0,0.0,97.0,1.0,1.0,79.0,0.0,1.0,89.0,0.0,70.81,1,650000.0
179,1.0,68.0,1.0,56.0,1.0,2.0,68.0,2.0,0.0,73.0,1.0,68.07,1,350000.0
180,0.0,77.8,0.0,64.0,0.0,2.0,64.2,2.0,0.0,75.5,1.0,72.14,0,288655.4054054054
181,1.0,65.0,0.0,71.5,1.0,1.0,62.8,0.0,1.0,57.0,0.0,56.6,1,265000.0
182,1.0,62.0,0.0,60.33,1.0,2.0,64.21,2.0,0.0,63.0,1.0,60.02,0,288655.4054054054
183,1.0,52.0,1.0,65.0,1.0,0.0,57.0,1.0,1.0,75.0,0.0,59.81,0,288655.4054054054
184,1.0,65.0,0.0,77.0,0.0,1.0,69.0,0.0,0.0,60.0,1.0,61.82,1,276000.0
185,0.0,56.28,1.0,62.83,1.0,1.0,59.79,0.0,0.0,60.0,1.0,57.29,0,288655.4054054054
186,0.0,88.0,0.0,72.0,0.0,2.0,78.0,1.0,0.0,82.0,1.0,71.43,1,252000.0
187,0.0,52.0,0.0,64.0,0.0,1.0,61.0,0.0,0.0,55.0,0.0,62.93,0,288655.4054054054
188,1.0,78.5,0.0,65.5,0.0,2.0,67.0,2.0,1.0,95.0,0.0,64.86,1,280000.0
189,1.0,61.8,1.0,47.0,1.0,1.0,54.38,0.0,0.0,57.0,0.0,56.13,0,288655.4054054054
190,0.0,54.0,0.0,77.6,1.0,1.0,69.2,0.0,0.0,95.65,0.0,66.94,0,288655.4054054054
191,0.0,64.0,1.0,70.2,0.0,1.0,61.0,0.0,0.0,50.0,0.0,62.5,0,288655.4054054054
192,1.0,67.0,1.0,61.0,0.0,2.0,72.0,0.0,0.0,72.0,0.0,61.01,1,264000.0
193,1.0,65.2,0.0,61.4,0.0,1.0,64.8,0.0,1.0,93.4,0.0,57.34,1,270000.0
194,0.0,60.0,0.0,63.0,0.0,0.0,56.0,1.0,1.0,80.0,1.0,56.63,1,300000.0
195,1.0,52.0,1.0,55.0,1.0,1.0,56.3,0.0,0.0,59.0,0.0,64.74,0,288655.4054054054
196,1.0,66.0,0.0,76.0,0.0,1.0,72.0,0.0,1.0,84.0,1.0,58.95,1,275000.0
197,1.0,72.0,1.0,63.0,1.0,2.0,77.5,2.0,1.0,78.0,0.0,54.48,1,250000.0
198,0.0,83.96,1.0,53.0,1.0,2.0,91.0,2.0,0.0,59.32,1.0,69.71,1,260000.0
199,0.0,67.0,0.0,70.0,0.0,1.0,65.0,1.0,0.0,88.0,1.0,71.96,0,288655.4054054054
200,1.0,69.0,1.0,65.0,1.0,1.0,57.0,0.0,0.0,73.0,1.0,55.8,1,265000.0
201,1.0,69.0,1.0,60.0,1.0,1.0,65.0,0.0,0.0,87.55,0.0,52.81,1,300000.0
202,1.0,54.2,0.0,63.0,1.0,2.0,58.0,0.0,0.0,79.0,1.0,58.44,0,288655.4054054054
203,1.0,70.0,0.0,63.0,0.0,2.0,66.0,2.0,0.0,61.28,1.0,60.11,1,240000.0
204,1.0,55.68,1.0,61.33,1.0,1.0,56.87,0.0,0.0,66.0,1.0,58.3,1,260000.0
205,0.0,74.0,1.0,73.0,1.0,1.0,73.0,0.0,1.0,80.0,0.0,67.69,1,210000.0
206,1.0,61.0,1.0,62.0,1.0,1.0,65.0,0.0,0.0,62.0,0.0,56.81,1,250000.0
207,1.0,41.0,0.0,42.0,0.0,2.0,60.0,0.0,0.0,97.0,0.0,53.39,0,288655.4054054054
208,1.0,83.33,0.0,78.0,1.0,1.0,61.0,0.0,1.0,88.56,0.0,71.55,1,300000.0
209,0.0,43.0,0.0,60.0,1.0,2.0,65.0,0.0,0.0,92.66,1.0,62.92,0,288655.4054054054
210,1.0,62.0,0.0,72.0,0.0,1.0,65.0,0.0,0.0,67.0,0.0,56.49,1,216000.0
211,1.0,80.6,1.0,82.0,1.0,1.0,77.6,0.0,0.0,91.0,0.0,74.49,1,400000.0
212,1.0,58.0,1.0,60.0,1.0,2.0,72.0,2.0,0.0,74.0,0.0,53.62,1,275000.0
213,1.0,67.0,1.0,67.0,1.0,1.0,73.0,0.0,1.0,59.0,0.0,69.72,1,295000.0
214,0.0,74.0,1.0,66.0,1.0,1.0,58.0,0.0,0.0,70.0,1.0,60.23,1,204000.0
215,1.0,62.0,0.0,58.0,1.0,2.0,53.0,0.0,0.0,89.0,1.0,60.22,0,288655.4054054054
