gender,ssc_p,hsc_p,degree_p,workex,etest_p,mba_p,salary,output
M,44,58,55,Yes,64.25,58.54,,Not Placed
M,71,58.66,58,Yes,56,61.3,690000,Placed
M,65,65,75,No,83,58.87,270000,Placed
F,75.4,60.5,84,No,98,65.25,240000,Placed
M,49,59,65,Yes,86,62.48,340000,Placed
M,53,63,60,Yes,70,53.2,250000,Placed
M,51.57,74.66,59.9,Yes,56.15,65.99,,Not Placed
M,84.2,69.4,65,Yes,80,52.72,255000,Placed
M,66.5,62.5,60.9,No,93.4,55.03,300000,Placed
M,67,63,64,No,60,61.87,,Not Placed
M,52,49,58,No,62,60.59,,Not Placed
M,87,74,65,Yes,75,72.29,300000,Placed
M,55.6,51,57.5,No,57.63,62.72,,Not Placed
M,74.2,87.6,77.25,Yes,75.2,66.06,285000,Placed
M,63,67,64,No,75,66.46,500000,Placed
F,67.16,72.5,63.35,No,53.04,65.52,250000,Placed
F,63.3,78.33,74,No,80,74.56,,Not Placed
M,62,62,60,Yes,63,52.38,240000,Placed
M,67.9,62,67,Yes,58.1,75.71,,Not Placed
F,48,51,58,Yes,60,58.79,,Not Placed
M,59.96,42.16,61.26,No,54.48,65.48,,Not Placed
F,63.4,67.2,60,No,58.06,69.28,,Not Placed
M,80,80,72,Yes,63.79,66.04,290000,Placed
M,73,58,56,No,84,52.64,300000,Placed
F,52,52,55,No,67,59.32,,Not Placed
M,73.24,50.83,64.27,Yes,64,66.23,500000,Placed
M,63,62,65,No,87.5,60.69,,Not Placed
F,59,60,56,No,55,57.9,220000,Placed
F,73,97,79,Yes,89,70.81,650000,Placed
M,68,56,68,No,73,68.07,350000,Placed
F,77.8,64,64.2,No,75.5,72.14,,Not Placed
M,65,71.5,62.8,Yes,57,56.6,265000,Placed
M,62,60.33,64.21,No,63,60.02,,Not Placed
M,52,65,57,Yes,75,59.81,,Not Placed
M,65,77,69,No,60,61.82,276000,Placed
F,56.28,62.83,59.79,No,60,57.29,,Not Placed
F,88,72,78,No,82,71.43,252000,Placed
F,52,64,61,No,55,62.93,,Not Placed
M,78.5,65.5,67,Yes,95,64.86,280000,Placed
M,61.8,47,54.38,No,57,56.13,,Not Placed
F,54,77.6,69.2,No,95.65,66.94,,Not Placed
F,64,70.2,61,No,50,62.5,,Not Placed
M,67,61,72,No,72,61.01,264000,Placed
M,65.2,61.4,64.8,Yes,93.4,57.34,270000,Placed
F,60,63,56,Yes,80,56.63,300000,Placed
M,52,55,56.3,No,59,64.74,,Not Placed
M,66,76,72,Yes,84,58.95,275000,Placed
M,72,63,77.5,Yes,78,54.48,250000,Placed
F,83.96,53,91,No,59.32,69.71,260000,Placed
F,67,70,65,No,88,71.96,,Not Placed
M,69,65,57,No,73,55.8,265000,Placed
M,69,60,65,No,87.55,52.81,300000,Placed
M,54.2,63,58,No,79,58.44,,Not Placed
M,70,63,66,No,61.28,60.11,240000,Placed
M,55.68,61.33,56.87,No,66,58.3,260000,Placed
F,74,73,73,Yes,80,67.69,210000,Placed
M,61,62,65,No,62,56.81,250000,Placed
M,41,42,60,No,97,53.39,,Not Placed
M,83.33,78,61,Yes,88.56,71.55,300000,Placed
F,43,60,65,No,92.66,62.92,,Not Placed
M,62,72,65,No,67,56.49,216000,Placed
M,80.6,82,77.6,No,91,74.49,400000,Placed
M,58,60,72,No,74,53.62,275000,Placed
M,67,67,73,Yes,59,69.72,295000,Placed
F,74,66,58,No,70,60.23,204000,Placed
M,62,58,53,No,89,60.22,,Not Placed
